Serial Number of system during year	Basin of origin	Name	Date (DD/MM/YYYY)	Time (UTC)	Latitude (lat.)	Longitude (lon.)	"CI No [or ""T. No""]"	"Estimated Central Pressure (hPa) [or ""E.C.P""]"	Maximum Sustained Surface Wind (kt) 	"Pressure Drop (hPa)[or ""delta P""]"	Grade (text)	Outermost closed isobar (hPa)	Diameter/Size of outermost closed isobar (in degree)
2_2010	ARB	BANDU	21/05/2010	1200	12.5	51.5	2.5	994.0	40	8.0	CS		
2_2010	ARB	BANDU	21/05/2010	1500	12.5	51.5	2.5	994.0	40	8.0	CS		
2_2010	ARB	BANDU	21/05/2010	1800	12.5	51.5	2.5	994.0	40	8.0	CS		
2_2010	ARB	BANDU	21/05/2010	2100	12.5	51.0	2.5	994.0	40	8.0	CS		
2_2010	ARB	BANDU	22/05/2010	0000	12.5	50.5	2.5	994.0	40	8.0	CS		
2_2010	ARB	BANDU	22/05/2010	0300	12.5	50.5	2.5	994.0	40	8.0	CS		
2_2010	ARB	BANDU	22/05/2010	0600	12.5	50.5	2.5	994.0	40	8.0	CS		
2_2010	ARB	BANDU	22/05/2010	0900	12.5	50.0	2.5	996.0	35	7.0	CS		
2_2010	ARB	BANDU	22/05/2010	1200	12.5	50.0	2.0	998.0	30	5.0	DD		
2_2010	ARB	BANDU	22/05/2010	1800	12.5	50.0	1.5	1000.0	25	3.0	D		
2_2010	ARB	BANDU	23/05/2010	0000	Weakened into a well marked low pressure area over the Gulf of Aden								
3_2010	ARB	PHET	31/05/2010	0600	15.0	64.0	1.5	1001.0	25	3.0	D		
3_2010	ARB	PHET	31/05/2010	1200	15.5	63.5	1.5	1001.0	25	3.0	D		
3_2010	ARB	PHET	31/05/2010	1800	15.5	63.5	1.5	999.0	25	4.0	D		
3_2010	ARB	PHET	01/06/2010	0000	15.5	63.5	2.0	998.0	30	5.0	DD		
3_2010	ARB	PHET	01/06/2010	0300	15.5	63.5	2.0	998.0	30	5.0	DD		
3_2010	ARB	PHET	01/06/2010	0600	16.0	63.0	2.0	996.0	30	5.0	DD		
3_2010	ARB	PHET	01/06/2010	0900	16.0	63.0	2.5	995.0	35	7.0	CS		
3_2010	ARB	PHET	01/06/2010	1200	16.5	62.5	2.5	994.0	35	7.0	CS		
3_2010	ARB	PHET	01/06/2010	1500	16.5	62.5	2.5	992.0	40	8.0	CS		
3_2010	ARB	PHET	01/06/2010	1800	17.0	62.0	3	990.0	45	10.0	CS		
3_2010	ARB	PHET	01/06/2010	2100	17.0	62.0	3	990.0	45	10.0	CS		
3_2010	ARB	PHET	02/06/2010	0000	17.5	61.5	3.5	986.0	55	15.0	SCS		
3_2010	ARB	PHET	02/06/2010	0300	17.5	61.0	3.5	984.0	60	18.0	SCS		
3_2010	ARB	PHET	02/06/2010	0600	17.5	61.0	4	978.0	70	24.0	VSCS		
3_2010	ARB	PHET	02/06/2010	0900	18.0	60.5	4.5	968.0	80	32.0	VSCS		
3_2010	ARB	PHET	02/06/2010	1200	18.0	60.5	4.5	964.0	85	36.0	VSCS		
3_2010	ARB	PHET	02/06/2010	1500	18.5	60.0	4.5	964.0	85	36.0	VSCS		
3_2010	ARB	PHET	02/06/2010	1800	18.5	60.0	4.5	966.0	85	36.0	VSCS		
3_2010	ARB	PHET	02/06/2010	2100	18.5	60.0	4.5	970.0	80	32.0	VSCS		
3_2010	ARB	PHET	03/06/2010	0000	18.5	59.5	4	974.0	75	28.0	VSCS		
3_2010	ARB	PHET	03/06/2010	0300	18.5	59.5	4	974.0	75	28.0	VSCS		
3_2010	ARB	PHET	03/06/2010	0600	19.0	59.5	4	978.0	70	24.0	VSCS		
3_2010	ARB	PHET	03/06/2010	0900	19.5	59.5	4	978.0	70	24.0	VSCS		
3_2010	ARB	PHET	03/06/2010	1200	20.0	59.5	4	978.0	70	24.0	VSCS		
3_2010	ARB	PHET	03/06/2010	1500	20.0	59.5	4	978.0	70	24.0	VSCS		
3_2010	ARB	PHET	03/06/2010	1800	20.5	59.5	4	980.0	65	22.0	VSCS		
3_2010	ARB	PHET	03/06/2010	2100	21.0	59.5	4	980.0	65	22.0	VSCS		
3_2010	ARB	PHET	04/06/2010	0000	21.5	59.5	4	980.0	65	22.0	VSCS		
3_2010	ARB	PHET	04/06/2010	0300	22.0	59.5	-	982.0	60	18.0	SCS		
3_2010	ARB	PHET	04/06/2010	0600	22.0	59.5	-	984.0	60	18.0	SCS		
3_2010	ARB	PHET	04/06/2010	0900	22.5	59.5	-	984.0	60	18.0	SCS		
3_2010	ARB	PHET	04/06/2010	1200	23.0	59.5	3.5	984.0	60	18.0	SCS		
3_2010	ARB	PHET	04/06/2010	1500	23.0	59.5	3.5	986.0	55	16.0	SCS		
3_2010	ARB	PHET	04/06/2010	1800	23.0	59.5	3.5	988.0	55	14.0	SCS		
3_2010	ARB	PHET	04/06/2010	2100	23.5	60.0	3.5	990.0	50	12.0	SCS		
3_2010	ARB	PHET	05/06/2010	0000	24.0	60.5	3	990.0	45	10.0	CS		
3_2010	ARB	PHET	05/06/2010	0300	24.5	61.0	2.5	992.0	40	8.0	CS		
3_2010	ARB	PHET	05/06/2010	0600	24.5	61.0	2.5	992.0	40	8.0	CS		
3_2010	ARB	PHET	05/06/2010	0900	24.5	61.0	2.5	992.0	40	8.0	CS		
3_2010	ARB	PHET	05/06/2010	1200	24.5	61.5	2.5	992.0	40	8.0	CS		
3_2010	ARB	PHET	05/06/2010	1500	24.5	62.0	2.5	994.0	35	7.0	CS		
3_2010	ARB	PHET	05/06/2010	1800	24.5	62.5	2.0	994.0	30	5.0	DD		
3_2010	ARB	PHET	05/06/2010	2100	24.5	63.0	2.0	994.0	30	5.0	DD		
3_2010	ARB	PHET	06/06/2010	0000	24.5	64.0	2.0	994.0	30	5.0	DD		
3_2010	ARB	PHET	06/06/2010	0300	24.5	65.0	1.5	994.0	25	4.0	D		
3_2010	ARB	PHET	06/06/2010	0600	24.5	66.0	1.5	994.0	25	4.0	D		
3_2010	ARB	PHET	06/06/2010	0900	24.5	66.5	1.5	994.0	25	4.0	D		
3_2010	ARB	PHET	06/06/2010	1200	24.5	67.0	1.5	993.0	25	4.0	D		
3_2010	ARB	PHET	06/06/2010	1500	25.0	68.0	-	993.0	25	4.0	D		
3_2010	ARB	PHET	06/06/2010	1800	25.0	69.0	-	991.0	25	5.0	D		
3_2010	ARB	PHET	07/06/2010	0000	26.5	71.0	-	993.0	25	5.0	D		
3_2010	ARB	PHET	07/06/2010	0300	26.5	71.5	-	993.0	25	5.0	D		
3_2010	ARB	PHET	07/06/2010	0600	26.5	72.5	-	995.0	20	3.0	D		
3_2010	ARB	PHET	07/06/2010	1200	Weakened into a well marked low pressure area over east 								
4_2010	BOB		07/10/2010	0300	16.5	84.5	1.5	998.0	25	4.0	D		
4_2010	BOB		07/10/2010	0600	17.5	84.5	1.5	998.0	25	4.0	D		
4_2010	BOB		07/10/2010	1200	18.5	85.0	1.5	996.0	25	4.0	D		
4_2010	BOB		07/10/2010	1800	19.0	85.5	1.5	996.0	25	4.0	D		
4_2010	BOB		08/10/2010	0000	20.0	86.5	1.5	998.0	25	4.0	D		
4_2010	BOB		08/10/2010	0300	21.0	87.5	1.5	998.0	25	4.0	D		
4_2010	BOB		08/10/2010	0600	22.0	89.0	1.5	998.0	25	4.0	D		
4_2010	BOB		08/10/2010	1200	23.5	90.5	--	1000.0	25	3.0	D		
4_2010	BOB		08/10/2010	1800	24.5	91.0	--	1002.0	25	3.0	D		
4_2010	BOB		09/10/2010	0000	The system weakened into a low pressure area over Nagaland, Manipur, Mizoram & Tripura  and neighbourhood.								
5_2010	BOB		13/10/2010	0600	17.5	90.0	1.5	1002.0	25	4.0	D		
5_2010	BOB		13/10/2010	1200	17.5	89.0	1.5	998.0	25	4.0	D		
5_2010	BOB		13/10/2010	1800	18.0	88.5	1.5	998.0	25	4.0	D		
5_2010	BOB		14/10/2010	0000	18.0	88.5	1.5	998.0	25	4.0	D		
5_2010	BOB		14/10/2010	0300	18.0	88.5	1.5	998.0	25	4.0	D		
5_2010	BOB		14/10/2010	0600	18.0	88.5	1.5	998.0	25	4.0	D		
5_2010	BOB		14/10/2010	1200	18.0	88.0	1.5	996.0	25	4.0	D		
5_2010	BOB		14/10/2010	1800	18.0	88.0	1.5	996.0	25	4.0	D		
5_2010	BOB		15/10/2010	0000	18.5	87.5	1.5	996.0	25	4.0	D		
5_2010	BOB		15/10/2010	0300	19.0	87.0	2.0	996.0	30	5.0	DD		
5_2010	BOB		15/10/2010	0600	19.5	86.0	2.0	996.0	30	5.0	DD		
5_2010	BOB		15/10/2010	1200	19.5	85.5	2.0	995.0	30	5.0	DD		
5_2010	BOB		15/10/2010	1800	19.0	84.5	--	996.0	30	5.0	DD		
5_2010	BOB		16/10/2010	0000	19.0	84.0	--	998.0	25	4.0	D		
6_2010	BOB	GIRI	20/10/2010	1200	17.5	91.5	1.5	1002.0	25	4.0	D		
6_2010	BOB	GIRI	20/10/2010	1800	17.5	91.5	1.5	1002.0	25	4.0	D		
6_2010	BOB	GIRI	21/10/2010	0000	17.5	91.5	1.5	1002.0	25	4.0	D		
6_2010	BOB	GIRI	21/10/2010	0300	17.5	91.5	2	1000.0	30	5.0	DD		
6_2010	BOB	GIRI	21/10/2010	0600	17.5	91.5	2.5	998.0	35	6.0	CS		
6_2010	BOB	GIRI	21/10/2010	0900	17.5	91.5	2.5	996.0	40	8.0	CS		
6_2010	BOB	GIRI	21/10/2010	1200	18.0	92	3	990.0	45	10.0	CS		
6_2010	BOB	GIRI	21/10/2010	1500	18.0	92	3	990.0	45	10.0	CS		
6_2010	BOB	GIRI	21/10/2010	1800	18.0	92	3	988.0	50	12.0	CS		
6_2010	BOB	GIRI	21/10/2010	2100	18.5	92.5	3	984.0	55	16.0	CS		
6_2010	BOB	GIRI	22/10/2010	0000	18.5	92.5	3.5	980.0	60	20.0	SCS		
6_2010	BOB	GIRI	22/10/2010	0300	19.0	93	4.5	974.0	80	30.0	VSCS		
6_2010	BOB	GIRI	22/10/2010	0600	19.0	93	5	964.0	90	40.0	ESCS		
6_2010	BOB	GIRI	22/10/2010	0900	19.5	93.5	5.5	950.0	105	52.0	ESCS		
6_2010	BOB	GIRI	22/10/2010	1200	19.8	93.5	5.5	950.0	105	52.0	ESCS		
6_2010	BOB	GIRI	22/10/2010	1500	20.0	93.5	--	966.0	80	36.0	VSCS		
6_2010	BOB	GIRI	22/10/2010	1800	20.5	94	--	976.0	70	26.0	VSCS		
6_2010	BOB	GIRI	22/10/2010	2100	20.5	94	--	986.0	55	16.0	SCS		
6_2010	BOB	GIRI	23/10/2010	0000	21.0	94.5	--	992.0	45	10.0	CS		
6_2010	BOB	GIRI	23/10/2010	0300	21.5	95	--	996.0	35	8.0	CS		
6_2010	BOB	GIRI	23/10/2010	0600	22.0	95.5	--	998.0	25	4.0	D		
6_2010	BOB	GIRI	23/10/2010	1200	The system weakened into a well marked low pressure area over central parts of Myanmar. 								
7_2010	BOB	JAL	04/11/2010	0000	8.0	92.0	1.5	1002.0	25	3.0	D		
7_2010	BOB	JAL	04/11/2010	0300	8.5	91.0	1.5	1002.0	25	3.0	D		
7_2010	BOB	JAL	04/11/2010	0600	8.5	90.5	1.5	1002.0	25	3.0	D		
7_2010	BOB	JAL	04/11/2010	1200	8.5	90.0	1.5	1002.0	25	3.0	D		
7_2010	BOB	JAL	04/11/2010	1800	8.5	89.5	1.5	1002.0	25	4.0	D		
7_2010	BOB	JAL	05/11/2010	0000	9.0	88.5	2.0	1000.0	30	5.0	DD		
7_2010	BOB	JAL	05/11/2010	0300	9.0	88.0	2.0	1000.0	30	5.0	DD		
7_2010	BOB	JAL	05/11/2010	0600	9.0	87.5	2.5	998.0	35	6.0	CS		
7_2010	BOB	JAL	05/11/2010	0900	9.0	87.5	2.5	996.0	40	8.0	CS		
7_2010	BOB	JAL	05/11/2010	1200	9.5	87.0	2.5	994.0	45	10.0	CS		
7_2010	BOB	JAL	05/11/2010	1500	9.5	87.0	3.0	994.0	45	10.0	CS		
7_2010	BOB	JAL	05/11/2010	1800	10.0	86.5	3.0	992.0	50	12.0	CS		
7_2010	BOB	JAL	05/11/2010	2100	10.0	86.0	3.5	990.0	55	16.0	SCS		
7_2010	BOB	JAL	06/11/2010	0000	10.0	85.5	3.5	990.0	55	16.0	SCS		
7_2010	BOB	JAL	06/11/2010	0300	10.0	85.5	3.5	990.0	55	16.0	SCS		
7_2010	BOB	JAL	06/11/2010	0600	10.0	85.0	3.5	990.0	55	16.0	SCS		
7_2010	BOB	JAL	06/11/2010	0900	10.0	85.0	3.5	990.0	55	16.0	SCS		
7_2010	BOB	JAL	06/11/2010	1200	11.0	84.5	3.5	988.0	60	18.0	SCS		
7_2010	BOB	JAL	06/11/2010	1500	11.0	84.5	3.5	988.0	60	18.0	SCS		
7_2010	BOB	JAL	06/11/2010	1800	11.0	84.0	3.5	988.0	60	18.0	SCS		
7_2010	BOB	JAL	06/11/2010	2100	11.0	84.0	3.5	988.0	60	18.0	SCS		
7_2010	BOB	JAL	07/11/2010	0000	11.0	83.5	3.5	988.0	60	18.0	SCS		
7_2010	BOB	JAL	07/11/2010	0300	12.0	83.0	3.5	990.0	55	16.0	SCS		
7_2010	BOB	JAL	07/11/2010	0600	12.0	82.5	3.0	992.0	45	12.0	CS		
7_2010	BOB	JAL	07/11/2010	0900	12.0	81.5	2.5	994.0	40	8.0	CS		
7_2010	BOB	JAL	07/11/2010	1200	13.0	81.0	2.0	996.0	30	6.0	DD		
7_2010	BOB	JAL	07/11/2010	1500	13.0	80.5	2.0	998.0	30	5.0	DD		
7_2010	BOB	JAL	07/11/2010		The system crossed north Tamilnadu and south Andhra Pradesh coast close to north 								
7_2010	BOB	JAL	07/11/2010		Chennai (43279) near 13.30N and 80.20E around 1600 UTC								
7_2010	BOB	JAL	07/11/2010	1800	13.0	80.0	--	1000.0	30	5.0	DD		
7_2010	BOB	JAL	08/11/2010	0000	14.0	79.0	--	1002.0	25	4.0	D		
7_2010	BOB	JAL	08/11/2010	0300	15.0	78.0	--	1004.0	25	3.0	D		
7_2010	BOB	JAL	08/11/2010	0600					The system weakened into a low pressure area over Rayalaseema and 				
8_2010	BOB		07/12/2010	0300	14.0	82.0	1.5	1000.0	25	4.0	D		
8_2010	BOB		07/12/2010	0600	14.5	82.0	1.5	1000.0	25	4.0	D		
8_2010	BOB		07/12/2010	1200	15.0	81.5	1.5	1000.0	25	4.0	D		
8_2010	BOB		07/12/2010	1800	15.5	81.0	1.5	1000.0	25	4.0	D		
8_2010	BOB		08/12/2010	0000	16.0	80.0	1.5	1000.0	20	4.0	D		
8_2010	BOB		08/12/2010	0300	The system weakened into a well marked low pressure area over central Andhra Pradesh								
1_2011	BOB		02/02/2011	0900	6.5	82.5	1.5	1002.0	25.0	3.0	D		
1_2011	BOB		02/02/2011	1200	6.5	82.5	1.5	1002.0	25.0	3.0	D		
1_2011	BOB		02/02/2011	1800	6.5	82.5	1.5	1002.0	25.0	3.0	D		
1_2011	BOB		03/02/2011	0000	Weakened into a well marked low pressure area over sothwest Bay of Bengal								
2_2011	AS		11/06/2011	1200	20.0	71.5	1.5	996.0	25.0	4.0	D		
2_2011	AS		11/06/2011	1800	20.0	71.5	1.5	996.0	25.0	4.0	D		
2_2011	AS		11/06/2011		The system crossed Saurashtra (Gujarat) coast near lat. 20.8 N/71.2 E around 2200 UTC of 11 June, 2011								
2_2011	AS		12/06/2011	0000	21.0	70.5	--	996.0	25.0	4.0	D		
2_2011	AS		12/06/2011	0300	21.0	70.5	--	996.0	20.0	3.0	D		
2_2011	AS		12/06/2011	0600	21.0	70.5	--	996.0	20.0	3.0	D		
2_2011	AS		12/06/2011	1200	The system weakened into a well marked low pressure area over Saurashtra and adjoining northeast Arabian Sea								
3_2011	BOB		16/06/2011	0300	21.5	89.0	1.5	986.0	25.0	6.0	D		
3_2011	BOB		16/06/2011	0600	21.5	89.0	1.5	986.0	25.0	6.0	DD		
3_2011	BOB		16/06/2011		The system crossed West Bengal-Bangladesh coast near lat. 21.8 N/89.0 E between 1100-1200 UTC								
3_2011	BOB		16/06/2011	1200	22.0	89.0	--	984.0	30.0	6.0	DD		
3_2011	BOB		16/06/2011	1800	22.5	89.0		984.0	30.0	6.0	DD		
3_2011	BOB		17/06/2011	0000	22.5	89.0	--	984.0	30.0	6.0	DD		
3_2011	BOB		17/06/2011	0300	22.5	89.0	--	984.0	30.0	8.0	DD		
3_2011	BOB		17/06/2011	0600	22.8	88.5	--	978.0	35.0	12.0	DD		
3_2011	BOB		17/06/2011	1200	23.0	88.0	--	982.0	25.0	10.0	DD		
3_2011	BOB		17/06/2011	1800	23.0	88.0	--	984.0	25.0	8.0	DD		
3_2011	BOB		18/06/2011	0000	23.0	87.5	--	984.0	25.0	8.0	DD		
3_2011	BOB		18/06/2011	0300	23.0	87.0	--	984.0	25.0	8.0	DD		
3_2011	BOB		18/06/2011	0600	23.0	87.0	--	984.0	25.0	8.0	DD		
3_2011	BOB		18/06/2011	1200	23.0	87.0	--	984.0	25.0	8.0	DD		
3_2011	BOB		18/06/2011	1800	23.0	86.5	--	986.0	25.0	8.0	DD		
3_2011	BOB		19/06/2011	0000	23.0	86.0	--	986.0	25.0	8.0	DD		
3_2011	BOB		19/06/2011	0300	23.5	85.5	--	987.0	25.0	8.0	DD		
3_2011	BOB		19/06/2011	0600	23.5	85.5	--	987.0	25.0	8.0	DD		
3_2011	BOB		19/06/2011	1200	23.5	85.0	--	987.0	25.0	7.0	DD		
3_2011	BOB		19/06/2011	1800	23.5	84.5	--	987.0	25.0	7.0	DD		
3_2011	BOB		20/06/2011	0000	23.5	84.0	--	987.0	25.0	7.0	DD		
3_2011	BOB		20/06/2011	0300	23.7	83.5	--	987.0	25.0	7.0	DD		
3_2011	BOB		20/06/2011	0600	23.7	83.5	--	990.0	20.0	4.0	D		
3_2011	BOB		20/06/2011	1200	24.0	83.0	--	990.0	20.0	4.0	D		
3_2011	BOB		20/06/2011	1800	24.0	83.0	--	990.0	20.0	4.0	D		
3_2011	BOB		21/06/2011	0000	24.5	82.5	--	990.0	20.0	4.0	D		
3_2011	BOB		21/06/2011	0300	24.5	82.0	--	990.0	20.0	4.0	D		
3_2011	BOB		21/06/2011	0600	24.5	81.5	--	990.0	20.0	4.0	D		
3_2011	BOB		21/06/2011	1200	24.5	81.0	--	990.0	20.0	4.0	D		
3_2011	BOB		21/06/2011	1800	24.5	81.0	--	990.0	20.0	4.0	D		
3_2011	BOB		22/06/2011	0000	24.5	80.5	--	991.0	20.0	4.0	D		
3_2011	BOB		22/06/2011	0300	24.5	80.0	--	992.0	20.0	3.0	D		
3_2011	BOB		22/06/2011	0600	24.5	80.0	--	992.0	20.0	3.0	D		
3_2011	BOB		22/06/2011	1200	24.5	79.1	--	994.0	20.0	3.0	D		
3_2011	BOB		22/06/2011	1800	24.5	78.5	--	992.0	20.0	3.0	D		
3_2011	BOB		23/06/2011	0000	The system weakened into a well marked low pressure area over west Madhya Pradesh and neighbourhood.								
4_2011	LAND		22/07/2011	0000	23.5	84.5	--	990.0	20.0	3.0	D		
4_2011	LAND		22/07/2011	0300	24.0	84.0	--	990.0	20.0	3.0	D		
4_2011	LAND		22/07/2011	0600	24.0	84.0	--	990.0	20.0	3.0	D		
4_2011	LAND		22/07/2011	1200	24.0	83.0	--	990.0	20.0	3.0	D		
4_2011	LAND		22/07/2011	1800	24.0	81.5	--	992.0	20.0	3.0	D		
4_2011	LAND		23/07/2011	0000	24.5	80.5	--	992.0	20.0	3.0	D		
4_2011	LAND		23/07/2011	0300	Weakened into a well marked low pressure area over north Madhya Pradesh and neighbourhood.								
5_2011	BOB		22/09/2011	0300	21.5	87.5	1.5	998.0	25.0	4.0	D		
5_2011	BOB		22/09/2011	0600	21.6	87.3	1.5	998.0	25.0	4.0	D		
5_2011	BOB		22/09/2011	1200	21.7	87.2	1.5	995.0	25.0	4.0	D		
5_2011	BOB		22/09/2011		The system crossed north Orissa coast close to Balasore between 1700-1800 UTC								
5_2011	BOB		22/09/2011	1800	21.8	87.0	--	998.0	25.0	4.0	D		
5_2011	BOB		23/09/2011	0000	22.5	86.5	--	1000.0	25.0	4.0	D		
5_2011	BOB		23/09/2011	0300	22.5	86.5	--	1002.0	25.0	4.0	D		
5_2011	BOB		23/09/2011	0600	22.5	86.5	--	1004.0	25.0	4.0	D		
5_2011	BOB		23/09/2011	0900	The system weakened into a well marked pressure area over Jharkhand close to Jamshedpur								
6_2011	BOB		19/10/2011	0000	20.0	90.5	1.5	1002.0	25.0	3.0	D		
6_2011	BOB		19/10/2011	0300	20.2	91.0	1.5	1002.0	25.0	3.0	D		
6_2011	BOB		19/10/2011	0600	20.5	91.5	2	1002.0	30.0	5.0	DD		
6_2011	BOB		19/10/2011	1200	21.0	92.0	2	1002.0	30.0	5.0	DD		
6_2011	BOB		19/10/2011	1800	21.5	92.5	--	1002.0	30.0	5.0	DD		
6_2011	BOB		20/10/2011	0000	21.5	93.5	--	1004.0	25.0	3.0	D		
6_2011	BOB		20/10/2011	0300	The system weakened into a low pressure area over Myanmar and adjoining Bangladesh, Mizoram and northeast Bay of Bengal.								
7_2011	AS	KEILA	29/10/2011	0600	13.0	62.0	1.5	1004.0	25.0	3.0	D		
7_2011	AS	KEILA	29/10/2011	1200	13.0	61.0	1.5	1004.0	25.0	3.0	D		
7_2011	AS	KEILA	29/10/2011	1800	13.0	61.0	1.5	1004.0	25.0	3.0	D		
7_2011	AS	KEILA	30/10/2011	0000	13.0	60.5	1.5	1004.0	25.0	3.0	D		
7_2011	AS	KEILA	30/10/2011	0300	13.0	60.0	1.5	1004.0	25.0	3.0	D		
7_2011	AS	KEILA	30/10/2011	0600	13.0	60.0	1.5	1002.0	25.0	3.0	D		
7_2011	AS	KEILA	30/10/2011	1200	13.5	59.5	1.5	1002.0	25.0	3.0	D		
7_2011	AS	KEILA	30/10/2011	1800	14.0	59.0	1.5	1002.0	25.0	3.0	D		
7_2011	AS	KEILA	31/10/2011	0000	14.5	59.0	1.5	1002.0	25.0	3.0	D		
7_2011	AS	KEILA	31/10/2011	0300	15.0	58.5	1.5	1000.0	25.0	3.0	D		
7_2011	AS	KEILA	31/10/2011	0600	16.0	57.0	1.5	1000.0	25.0	3.0	D		
7_2011	AS	KEILA	31/10/2011	1200	16.0	57.5	1.5	1000.0	25.0	3.0	D		
7_2011	AS	KEILA	31/10/2011	1800	16.0	57.0	1.5	1000.0	25.0	3.0	D		
7_2011	AS	KEILA	01/11/2011	0000	16.0	56.5	1.5	1000.0	25.0	3.0	D		
7_2011	AS	KEILA	01/11/2011	0300	16.0	56.0	2.0	1000.0	30.0	4.0	DD		
7_2011	AS	KEILA	01/11/2011	0600	16.0	56.0	2.0	1000.0	30.0	4.0	DD		
7_2011	AS	KEILA	01/11/2011	1200	16.0	55.5	2.0	1000.0	30.0	4.0	DD		
7_2011	AS	KEILA	01/11/2011	1800	16.0	55.5	2.0	1000.0	30.0	5.0	DD		
7_2011	AS	KEILA	02/11/2011	0000	16.0	55.3	2.0	1000.0	30.0	5.0	DD		
7_2011	AS	KEILA	02/11/2011	0300	16.0	55.0	2.5	998.0	35.0	7.0	CS		
7_2011	AS	KEILA	02/11/2011	0600	16.0	54.5	2.5	996.0	35.0	7.0	CS		
7_2011	AS	KEILA	02/11/2011	0900	16.0	54.5	2.5	996.0	35.0	7.0	CS		
7_2011	AS	KEILA	02/11/2011	1200	16.5	54.5	2.5	996.0	35.0	7.0	CS		
7_2011	AS	KEILA	02/11/2011	1500	16.8	54.3	2.5	996.0	35.0	6.0	CS		
7_2011	AS	KEILA	02/11/2011		The cyclonic storm ‘KEILA’ crossed Oman coast close to the north of Salalah (near lat.17.10N and long. 54.30E) between 1600-1700 UTC								
7_2011	AS	KEILA	02/11/2011	1800	17.1	54.2	2.0	1000.0	30.0	5.0	DD		
7_2011	AS	KEILA	03/11/2011	0000	17.1	54.2	2.0	1000.0	30.0	5.0	DD		
7_2011	AS	KEILA	03/11/2011	0300	17.1	54.2	2.0	1000.0	30.0	4.0	DD		
7_2011	AS	KEILA	03/11/2011	0600	17.1	54.2	2.0	1000.0	30.0	4.0	DD		
7_2011	AS	KEILA	03/11/2011	1200	17.0	54.5	2.0	1000.0	30.0	4.0	DD		
7_2011	AS	KEILA	03/11/2011	1800	17.0	54.8	2.0	1001.0	30.0	4.0	DD		
7_2011	AS	KEILA	04/11/2011	0000	17.0	55.0	2.0	1001.0	30.0	4.0	DD		
7_2011	AS	KEILA	04/11/2011	0300	16.5	55.0	1.5	1002.0	25.0	3.0	D		
7_2011	AS	KEILA	04/11/2011	0600	The system weakened into a low pressure area over westcentral Arabian Sea off Oman coast.								
8_2011	AS		06/11/2011	0600	10.5	65.5	1.5	1004.0	25.0	3.0	D		
8_2011	AS		06/11/2011	1200	10.5	65.5	1.5	1004.0	25.0	3.0	D		
8_2011	AS		06/11/2011	1800	11.0	64.5	1.5	1004.0	25.0	3.0	D		
8_2011	AS		07/11/2011	0000	11.5	64.0	1.5	1002.0	25.0	3.0	D		
8_2011	AS		07/11/2011	0300	11.5	63.5	1.5	1002.0	25.0	3.0	D		
8_2011	AS		07/11/2011	0600	12.5	62.0	1.5	1002.0	25.0	3.0	D		
8_2011	AS		07/11/2011	1200	13.5	60.5	1.5	1002.0	25.0	3.0	D		
8_2011	AS		07/11/2011	1800	13.5	60.5	1.5	1002.0	25.0	3.0	D		
8_2011	AS		08/11/2011	0000	13.5	60.0	1.5	1002.0	25.0	3.0	D		
8_2011	AS		08/11/2011	0300	13.5	60.0	2	1000.0	30.0	4.0	DD		
8_2011	AS		08/11/2011	0600	13.7	59.5	2	1000.0	30.0	4.0	DD		
8_2011	AS		08/11/2011	1200	14.0	59.0	2	1000.0	30.0	4.0	DD		
8_2011	AS		08/11/2011	1800	14.5	58.5	2	1000.0	30.0	4.0	DD		
8_2011	AS		09/11/2011	0000	15.0	58.5	2	1000.0	30.0	4.0	DD		
8_2011	AS		09/11/2011	0300	15.0	58.5	2	1000.0	30.0	4.0	DD		
8_2011	AS		09/11/2011	0600	15.0	58.5	2	1000.0	30.0	4.0	DD		
8_2011	AS		09/11/2011	1200	15.5	58.5	1.5	1002.0	25.0	3.0	D		
8_2011	AS		09/11/2011	1800	15.5	58.5	1.5	1002.0	25.0	3.0	D		
8_2011	AS		10/11/2011	0000	16.0	58.5	1.5	1002.0	25.0	3.0	D		
8_2011	AS		10/11/2011	0300	16.0	58.5	1.5	1002.0	25.0	3.0	D		
8_2011	AS		10/11/2011	1200	The system weakened into a well marked low pressure area over westcentral Arabian Sea off Oman coast.								
9_2011	AS		26/11/2011	0300	7.5	76.5	1.5	1002.0	25.0	3.0	D		
9_2011	AS		26/11/2011	0600	8.0	75.5	1.5	1002.0	25.0	3.0	D		
9_2011	AS		26/11/2011	1200	8.5	75.0	1.5	1000.0	25.0	3.0	D		
9_2011	AS		26/11/2011	1800	8.5	75.0	1.5	1000.0	25.0	3.0	D		
9_2011	AS		27/11/2011	0000	9.5	74.0	1.5	1000.0	25.0	3.0	D		
9_2011	AS		27/11/2011	0300	10.5	73.0	1.5	1000.0	25.0	3.0	D		
9_2011	AS		27/11/2011	0600	11.0	72.5	1.5	1000.0	25.0	4.0	D		
9_2011	AS		27/11/2011	1200	12.0	71.5	1.5	1000.0	25.0	4.0	D		
9_2011	AS		27/11/2011	1800	12.5	71.0	1.5	1000.0	25.0	4.0	D		
9_2011	AS		28/11/2011	0000	13.5	70.0	2.0	998.0	30.0	5.0	DD		
9_2011	AS		28/11/2011	0300	14.0	69.5	2.0	998.0	30.0	5.0	DD		
9_2011	AS		28/11/2011	0600	14.5	69.0	2.0	998.0	30.0	5.0	DD		
